time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-03T03:17:48.410Z,-32.6979,-70.0534,98.49,5.7,mww,,18,0.424,0.71,us,us7000fr0v,2021-11-05T18:09:07.335Z,"53 km ENE of Los Andes, Chile",earthquake,4.7,3,0.041,58,reviewed,us,us
2021-11-03T03:07:50.970Z,19.1605,-155.4905,35.13,3.37,ml,55,118,,0.11,hv,hv72780797,2021-11-04T04:28:06.373Z,"4 km SSW of P?hala, Hawaii",earthquake,0.43,0.53,0.190763122196864,39,reviewed,hv,hv
2021-11-03T02:35:56.282Z,37.0394,141.3118,48.91,4.6,mwr,,152,2.539,1.2,us,us7000fr0l,2021-11-03T07:20:03.043Z,"38 km E of Iwaki, Japan",earthquake,8,7.7,0.078,16,reviewed,us,us
2021-11-03T02:11:12.210Z,32.2621667,-115.2611667,22.15,2.84,ml,28,123,0.1612,0.28,ci,ci39847447,2021-11-03T14:57:01.420Z,"9km WNW of Alberto Oviedo Mota, B.C., MX",earthquake,0.51,1.13,0.193,45,reviewed,ci,ci
2021-11-03T01:33:17.220Z,40.3781662,-124.2366638,27.77,3.37,ml,19,108,0.06691,0.1,nc,nc73648090,2021-11-03T11:27:56.701Z,"7km NE of Petrolia, CA",earthquake,0.97,1.18,0.24,14,automatic,nc,nc
2021-11-03T01:30:22.154Z,0.2509,96.6579,10,4.7,mb,,76,1.391,0.55,us,us7000fr0c,2021-11-03T01:49:53.040Z,"248 km S of Sinabang, Indonesia",earthquake,6.5,1.7,0.083,44,reviewed,us,us
2021-11-03T01:19:23.800Z,-20.7707,-178.5253,590.73,4.8,mb,,127,4.416,0.78,us,us7000fr07,2021-11-03T01:35:57.040Z,"Fiji region",earthquake,12.4,9.3,0.087,41,reviewed,us,us
2021-11-03T01:17:08.410Z,35.0821667,-116.693,10.54,2.56,ml,28,51,0.06568,0.16,ci,ci39847431,2021-11-03T14:45:37.965Z,"20km S of Fort Irwin, CA",earthquake,0.2,0.43,0.118,106,reviewed,ci,ci
2021-11-03T00:50:35.926Z,0.9201,98.5404,67,5.1,mb,,96,1.037,0.98,us,us7000fqzz,2021-11-05T03:12:10.005Z,"94 km SSW of Sibolga, Indonesia",earthquake,4.8,6.7,0.059,92,reviewed,us,us
2021-11-03T00:24:51.300Z,40.363,-124.2553333,29.6,4.38,mw,37,109,0.04531,0.13,nc,nc73648040,2021-11-04T00:28:43.868Z,"5km NNE of Petrolia, CA",earthquake,0.36,0.43,,3,reviewed,nc,nc
2021-11-02T23:34:34.447Z,31.67986221,-104.4587458,6.080151367,2.6,ml,24,55,0.03755948373,0.3,tx,tx2021vnbc,2021-11-04T23:06:46.040Z,"55 km S of Whites City, New Mexico",earthquake,1.072999781,1.147386936,0.1,12,reviewed,tx,tx
2021-11-02T23:25:46.410Z,43.9777,20.8861,10,3.9,mb,,44,1.951,0.74,us,us7000fqzl,2021-11-04T20:55:59.252Z,"4 km SSW of Kragujevac, Serbia",earthquake,4.4,2,0.295,3,reviewed,us,us
2021-11-02T23:21:54.636Z,19.6956,-108.8989,10,4.3,mb,,110,6.65,1.24,us,us7000fqzk,2021-11-03T00:11:14.040Z,"Revilla Gigedo Islands region",earthquake,10,1.9,0.05,114,reviewed,us,us
2021-11-02T20:55:06.177Z,-12.1282,65.5865,10,5.5,mww,,41,7.877,1.02,us,us7000fqyj,2021-11-04T17:00:15.040Z,"Mid-Indian Ridge",earthquake,8.8,1.7,0.083,14,reviewed,us,us
2021-11-02T19:56:58.318Z,0.1194,96.712,15,4.4,mb,,120,1.459,0.79,us,us7000fqxm,2021-11-02T20:59:00.040Z,"263 km S of Sinabang, Indonesia",earthquake,7.4,5.1,0.089,44,reviewed,us,us
2021-11-02T17:04:48.840Z,18.7703,-65.7135,7,3.32,md,13,248,0.5914,0.34,pr,pr2021306008,2021-11-02T17:39:02.835Z,"40 km NNE of Vieques, Puerto Rico",earthquake,1.68,1.94,0.06,6,reviewed,pr,pr
2021-11-02T17:00:46.473Z,-62.6243,155.4631,10,5.4,mww,,81,8.35,0.76,us,us7000fqw8,2021-11-03T18:05:40.161Z,"Balleny Islands region",earthquake,11.3,1.8,0.098,10,reviewed,us,us
2021-11-02T16:43:52.229Z,-6.91,130.504,89.29,5.7,mww,,29,4.328,0.83,us,us7000fqve,2021-11-03T21:42:10.040Z,"286 km WSW of Tual, Indonesia",earthquake,7.4,3.3,0.086,13,reviewed,us,us
2021-11-02T16:12:13.315Z,-16.6025,-173.6598,14.64,4.7,mb,,136,3.233,0.57,us,us7000fqv5,2021-11-02T18:12:55.040Z,"73 km SSE of Hihifo, Tonga",earthquake,6.5,3.7,0.084,47,reviewed,us,us
2021-11-02T16:06:38.960Z,18.0331,-66.7638,16,2.52,md,18,75,0.1579,0.18,pr,pr2021306007,2021-11-02T16:54:47.180Z,"1 km NNE of Magas Arriba, Puerto Rico",earthquake,0.35,0.54,0.28,6,reviewed,pr,pr
2021-11-02T14:59:18.644Z,0.371,96.5729,10,4.4,mb,,106,1.365,1.25,us,us7000fqui,2021-11-02T15:31:38.040Z,"234 km S of Sinabang, Indonesia",earthquake,10.4,1.9,0.106,28,reviewed,us,us
2021-11-02T14:47:47.933Z,0.1254,96.6739,10,4.9,mb,,47,1.477,0.99,us,us7000fque,2021-11-02T16:13:30.040Z,"262 km S of Sinabang, Indonesia",earthquake,7.6,1.9,0.061,88,reviewed,us,us
2021-11-02T14:30:52.217Z,0.558,67.1633,10,5,mb,,123,8.611,1.02,us,us7000fqu8,2021-11-03T02:15:26.337Z,"Carlsberg Ridge",earthquake,11.1,1.9,0.093,40,reviewed,us,us
